release_date,title
1939-10-06,Ninotchka
1957-06-30,Love in the Afternoon
1958-04-15,Gigi
1958-01-01,The Reluctant Debutante
1938-05-13,The Adventures of Robin Hood
1940-11-08,The Mark of Zorro
1944-10-11,Laura
1947-06-26,The Ghost and Mrs. Muir
1937-09-01,Lost Horizon
1935-09-06,Top Hat
1942-03-05,To Be or Not to Be
1936-09-17,My Man Godfrey
1956-10-10,Giant
1955-03-09,East of Eden
1934-05-25,The Thin Man
1940-01-18,His Girl Friday
1956-10-17,Around the World in Eighty Days
1946-12-20,It's a Wonderful Life
1939-10-19,Mr. Smith Goes to Washington
1938-02-18,Bringing Up Baby
1941-04-24,Penny Serenade
1926-08-09,The Scarlet Letter
1943-06-01,Lady of Burlesque
1934-07-20,Of Human Bondage
1946-09-20,Angel on My Shoulder
1936-03-06,Little Lord Fauntleroy
1939-01-28,They Made Me a Criminal
1949-12-31,The Inspector General
1947-02-15,Angel and the Badman
1935-06-01,The 39 Steps
1945-12-25,A Walk in the Sun
1943-02-05,The Outlaw
1968-10-01,Night of the Living Dead
1951-12-03,The African Queen
1953-11-24,Beat the Devil
1958-02-17,Cat on a Hot Tin Roof
1954-01-01,The Last Time I Saw Paris
1941-03-12,Meet John Doe
1938-06-28,Algiers
1937-09-30,Something to Sing About
1932-12-08,A Farewell to Arms
1936-03-27,Moonlight Murder
1996-10-18,Nothing Personal
1985-01-01,"Yes, Madam"
1997-02-12,Dangerous Ground
1955-11-18,Picnic
1995-01-26,Madagascar Skin
1996-07-26,The Pompatus of Love
1995-01-01,Small Wonders
1996-09-13,Fly Away Home
1997-04-14,Bliss
1996-09-13,Grace of My Heart
1995-09-08,Brother of Sleep
1996-09-13,Maximum Risk
1996-10-25,Michael Collins
1996-09-13,The Rich Man's Wife
1996-10-04,Infinity
1996-09-20,Big Night
1996-09-20,Last Man Standing
1996-01-24,Caught
1996-11-06,Set It Off
1996-09-11,2 Days in the Valley
1996-09-06,Curdled
1979-08-22,L'associé
1996-10-18,Ed's Next Move
1996-09-27,Extreme Measures
1996-10-04,The Glimmer Man
1996-10-04,D3: The Mighty Ducks
1996-10-11,The Chamber
1975-07-01,The Apple Dumpling Gang
1955-05-25,"Davy Crockett, King of the Wild Frontier"
1975-03-21,Escape to Witch Mountain
1968-12-22,The Love Bug
1974-02-14,Herbie Rides Again
1957-12-25,Old Yeller
1961-06-12,The Parent Trap
1960-05-19,Pollyanna
1993-02-03,Homeward Bound: The Incredible Journey
1959-03-19,The Shaggy Dog
1960-12-21,Swiss Family Robinson
1965-12-02,That Darn Cat!
1954-12-23,"20,000 Leagues Under the Sea"
1993-09-30,Cool Runnings
1994-07-15,Angels in the Outfield
1950-03-04,Cinderella
1968-12-20,Winnie the Pooh and the Blustery Day
1944-07-21,The Three Caballeros
1963-12-25,The Sword in the Stone
1948-11-29,So Dear to My Heart
1991-06-14,Robin Hood: Prince of Thieves
1964-08-27,Mary Poppins
1941-10-22,Dumbo
1977-11-03,Pete's Dragon
1971-10-07,Bedknobs and Broomsticks
1951-07-03,Alice in Wonderland
1981-07-10,The Fox and the Hound
1996-08-23,Freeway
1965-03-02,The Sound of Music
1988-07-15,Die Hard
1992-03-05,The Lawnmower Man
1996-09-04,Unhook the Stars
1995-09-13,Synthetic Pleasures
1996-11-08,The Secret Agent
1996-05-24,Secrets & Lies
1996-10-04,That Thing You Do!
1996-10-18,To Gillian on Her 37th Birthday
1996-09-04,Surviving Picasso
1996-05-10,Love Is All There Is
1996-06-21,Beautiful Thing
1996-10-11,The Long Kiss Goodnight
1996-10-11,The Ghost and the Darkness
1996-10-11,Looking for Richard
1996-10-11,Trees Lounge
1996-09-09,The Proprietor
1996-01-26,Normal Life
1996-10-16,Get on the Bus
1997-01-31,Shadow Conspiracy
1996-02-06,Jude
1996-12-06,Everyone Says I Love You
1996-02-10,Bitter Sugar
1996-10-31,Romeo + Juliet
1996-10-18,Swingers
1996-10-18,Sleepers
1996-05-29,The Sunchaser
1996-12-10,Johns
1996-05-20,Aladdin and the King of Thieves
1952-02-18,The Woman in Question
1937-05-07,Shall We Dance
1937-11-19,A Damsel in Distress
1947-07-22,Crossfire
1944-12-09,"Murder, My Sweet"
1952-04-30,Macao
1993-10-01,For the Moment
1971-06-29,Willy Wonka & the Chocolate Factory
1994-01-28,The Sexual Life of the Belgians
1961-12-25,The Innocents
1973-12-17,Sleeper
1971-04-28,Bananas
1988-07-15,A Fish Called Wanda
1979-08-17,Life of Brian
1982-04-25,Victor/Victoria
1972-08-23,The Candidate
1965-07-01,The Great Race
1967-07-18,Bonnie and Clyde
1958-10-07,The Old Man and the Sea
1954-05-29,Dial M for Murder
1995-11-22,Madame Butterfly
1987-08-21,Dirty Dancing
1992-09-02,Reservoir Dogs
1986-12-18,Platoon
1989-07-05,Weekend at Bernie's
1992-03-20,Basic Instinct
1991-03-01,The Doors
1992-09-02,The Crying Game
1992-09-15,Glengarry Glen Ross
1982-12-08,Sophie's Choice
1982-04-03,E.T. the Extra-Terrestrial
1994-11-14,The Search for One-eye Jimmy
1938-12-16,A Christmas Carol
1990-06-27,Days of Thunder
1986-05-16,Top Gun
1996-09-12,American Strays
1955-10-27,Rebel Without a Cause
1951-09-18,A Streetcar Named Desire
1996-10-08,Children of the Corn IV: The Gathering
1996-09-27,The Leopard Son
1996-10-03,Charm's  Incidents
1995-09-12,Bird of Prey
1996-05-20,Microcosmos
1995-09-07,Palookaville
1996-10-25,The Associate
1996-01-26,The Funeral
2013-10-12,The Sleepover
1995-05-29,A Single Girl
1996-01-01,The Eighth Day
1996-01-03,North Star
1997-03-14,Drunks
1996-10-12,The People vs. Larry Flynt
1995-10-01,Glory Daze
1996-06-19,A Perfect Candidate
1981-12-04,On Golden Pond
1975-05-21,The Return of the Pink Panther
1991-04-19,Drop Dead Fred
1989-08-09,The Abyss
1980-02-08,The Fog
1981-05-22,Escape from New York
1981-04-03,The Howling
1986-08-27,Jean de Florette
1986-11-19,Manon of the Spring
1993-01-01,Johnny 100 Pesos
1980-10-06,Private Benjamin
1975-03-13,Monty Python and the Holy Grail
1996-07-19,Hustler White
1995-09-02,Dadetown
1996-09-13,Everything Relative
1996-09-27,Entertaining Angels - The Dorothy Day Story
1996-05-15,Three Lives and Only One Death
1996-09-27,The Line King: The Al Hirschfeld Story
1996-10-17,Snowriders
1995-09-18,Curtis's Charm
1996-10-25,When We Were Kings
1993-12-17,The Wrong Trousers
1995-03-08,JLG/JLG: Self-Portrait in December
1982-05-12,The Return of Martin Guerre
1994-09-10,Faust
1948-11-24,He Walked by Night
1948-05-26,Raw Deal
1947-12-15,T-Men
1944-10-27,The Children Are Watching Us
1946-09-26,Pastoral Symphony
1935-09-10,Here Comes Cookie
1935-04-20,Love In Bloom
1934-02-09,Six of a Kind
1979-05-02,The Tin Drum
1972-09-13,The Ruling Class
1994-03-02,Mina Tannenbaum
1967-03-17,2 or 3 Things I Know About Her
1996-10-26,The Bloody Child
1996-11-01,Dear God
1996-11-01,Bad Moon
1990-09-28,American Dream
1995-05-17,Best of the Best 3: No Turning Back
1992-09-04,Bob Roberts
1988-11-17,Cinema Paradiso
1989-09-10,"The Cook, the Thief, His Wife & Her Lover"
1994-05-18,Dead Tired
1991-04-17,Delicatessen
1991-05-15,The Double Life of Veronique
1991-11-06,Enchanted April
1957-09-18,Paths of Glory
1990-09-14,The Grifters
1991-12-27,Hear My Song
1997-10-23,The Shooter
1996-11-14,The English Patient
1991-01-31,Mediterraneo
1989-07-21,My Left Foot: The Story of Christy Brown
1989-08-18,"Sex, Lies, and Videotape"
1992-12-11,Passion Fish
1992-08-20,Strictly Ballroom
1988-08-28,The Thin Blue Line
1989-12-12,Tie Me Up! Tie Me Down!
1991-05-10,Madonna: Truth or Dare
1990-03-13,Paris is Burning
1975-11-18,One Flew Over the Cuckoo's Nest
1978-01-01,Up in Smoke
1980-05-17,The Empire Strikes Back
1987-09-18,The Princess Bride
1981-06-12,Raiders of the Lost Ark
1985-02-20,Brazil
1986-07-18,Aliens
1966-12-23,"The Good, the Bad and the Ugly"
1987-01-01,Withnail & I
1957-03-25,12 Angry Men
1962-12-10,Lawrence of Arabia
1971-12-18,A Clockwork Orange
1962-12-25,To Kill a Mockingbird
1979-08-15,Apocalypse Now
1968-12-21,Once Upon a Time in the West
1983-05-23,Return of the Jedi
1987-01-01,Wings of Desire
1949-08-31,The Third Man
1990-09-12,GoodFellas
1979-05-25,Alien
1992-10-09,Army of Darkness
1988-05-11,The Big Blue
1985-06-01,Ran
1989-07-06,The Killer
1960-06-16,Psycho
1980-06-17,The Blues Brothers
1974-12-20,The Godfather: Part II
1987-06-26,Full Metal Jacket
1990-05-18,A Grand Day Out
1989-10-05,Henry V
1984-10-26,Amadeus
1952-07-21,The Quiet Man
1984-02-16,Once Upon a Time in America
1980-11-14,Raging Bull
1977-04-19,Annie Hall
1983-10-20,The Right Stuff
1979-04-16,Stalker
1981-09-16,Das Boot
1973-12-25,The Sting
1971-12-20,Harold and Maude
1990-09-09,Trust
1957-02-16,The Seventh Seal
1983-02-17,Local Hero
1984-10-26,The Terminator
1992-08-13,Braindead
1989-12-15,Glory
1991-02-08,Rosencrantz & Guildenstern Are Dead
1979-04-25,Manhattan
1990-09-21,Miller's Crossing
1989-06-02,Dead Poets Society
1967-12-21,The Graduate
1958-04-23,Touch of Evil
1990-02-21,La Femme Nikita
1957-10-02,The Bridge on the River Kwai
1963-02-14,8½
1974-06-20,Chinatown
1951-09-17,The Day the Earth Stood Still
1948-01-24,The Treasure of the Sierra Madre
1987-12-01,Bad Taste
1933-11-17,Duck Soup
1985-10-11,Better Off Dead...
1980-05-22,The Shining
1986-08-22,Stand by Me
1931-05-11,M
1987-03-13,Evil Dead II
1963-06-20,The Great Escape
1978-12-08,The Deer Hunter
1981-03-11,Diva
1993-02-11,Groundhog Day
1992-08-07,Unforgiven
1962-10-24,The Manchurian Candidate
1990-08-22,Pump up the Volume
1944-09-23,Arsenic and Old Lace
1985-07-03,Back to the Future
1991-12-27,Fried Green Tomatoes
1970-01-25,Patton
1986-05-01,Down by Law
1988-07-16,Akira
1986-03-07,Highlander
1967-06-22,Cool Hand Luke
1990-03-28,Cyrano de Bergerac
1974-12-15,Young Frankenstein
1991-10-03,Night on Earth
1991-12-20,Raise the Red Lantern
1940-10-15,The Great Dictator
1940-11-13,Fantasia
1952-03-27,High Noon
1946-08-23,The Big Sleep
1988-10-01,Heathers
1980-10-02,Somewhere in Time
1959-12-26,Ben-Hur
1984-05-04,This Is Spinal Tap
1982-06-06,Koyaanisqatsi
1987-02-27,Some Kind of Wonderful
1989-05-24,Indiana Jones and the Last Crusade
1979-12-19,Being There
1982-11-30,Gandhi
1988-02-05,The Unbearable Lightness of Being
1985-12-13,A Room with a View
1985-08-07,Real Genius
1982-07-14,Pink Floyd: The Wall
1984-11-02,The Killing Fields
1985-12-12,My Life as a Dog
1956-03-15,Forbidden Planet
1989-04-21,Field of Dreams
1975-12-03,The Man Who Would Be King
1969-09-23,Butch Cassidy and the Sundance Kid
1984-05-19,"Paris, Texas"
1991-09-12,Until the End of the World
1989-07-21,When Harry Met Sally...
1996-10-18,I Shot a Man in Vegas
1995-01-01,Parallel Sons
1996-11-08,Hype!
1996-11-08,Santa with Muscles
1996-01-22,Female Perversions
1996-11-08,Mad Dog Time
1996-11-08,Breathing Room
1996-02-19,Paris Was a Woman
1996-12-24,I'm Not Rappaport
1995-09-15,Blue Juice
1996-09-05,Kids of Survival
1992-05-22,Alien³
1981-08-21,An American Werewolf in London
1992-07-16,Amityville: It's About Time
1983-11-18,Amityville 3-D
1996-10-02,Amityville: Dollhouse
1993-09-29,Amityville: A New Generation
1982-09-24,Amityville II: The Possession
1979-07-27,The Amityville Horror
1989-12-01,The Amityville Curse
1974-08-13,Blood for Dracula
1986-03-27,April Fool's Day
1977-04-06,Audrey Rose
1987-06-09,The Believers
1963-03-28,The Birds
1958-09-12,The Blob
1980-09-01,Blood Beach
1991-08-02,Body Parts
1945-05-25,The Body Snatcher
1992-11-13,Dracula
1935-04-21,Bride of Frankenstein
1976-10-18,Burnt Offerings
1992-10-16,Candyman
1991-11-15,Cape Fear
1962-04-12,Cape Fear
1976-11-03,Carrie
1982-04-02,Cat People
1984-11-14,A Nightmare on Elm Street
1922-03-15,Nosferatu
1988-09-15,Vampire in Venice
1976-06-06,The Omen
1996-10-03,Blood and Wine
1996-09-09,Albino Alligator
1996-11-15,The Mirror Has Two Faces
1996-05-13,Breaking the Waves
1997-01-31,Nightwatch
1996-11-21,Star Trek: First Contact
1996-01-21,Shine
1996-08-30,Sling Blade
1996-11-15,Jingle All the Way
1982-10-21,Identification of a Woman
1996-12-03,Paradise Lost: The Child Murders at Robin Hood Hills
1996-12-13,The Preacher's Wife
1995-09-29,Zero Kelvin
1996-05-09,Ridicule
1996-11-27,The Crucible
1996-11-17,101 Dalmatians
1951-06-08,The Forbidden Christ
1994-05-18,I Can't Sleep
1990-07-02,Die Hard 2
1979-12-06,Star Trek: The Motion Picture
1991-12-05,Star Trek VI: The Undiscovered Country
1989-06-09,Star Trek V: The Final Frontier
1982-06-03,Star Trek II: The Wrath of Khan
1984-05-31,Star Trek III: The Search for Spock
1986-11-25,Star Trek IV: The Voyage Home
1992-06-19,Batman Returns
1988-08-12,Young Guns
1990-08-01,Young Guns II
1978-07-07,Grease
1982-06-11,Grease 2
1990-10-05,Marked for Death
1996-11-29,Adrenalin: Fear the Rush
1996-09-11,The Substance of Fire
1992-10-08,Under Siege
1958-09-01,Terror in a Texas Town
1975-06-18,Jaws
1978-06-16,Jaws 2
1983-03-16,Jaws 3-D
1996-12-20,My Fellow Americans
1996-12-12,Mars Attacks!
1996-12-13,Citizen Ruth
1996-12-06,Jerry Maguire
1987-03-01,Raising Arizona
1987-03-06,Tin Men
1992-09-09,Sneakers
1996-12-15,Bastard Out of Carolina
1996-12-18,In Love and War
1996-12-18,Marvin's Room
1996-12-19,Somebody Is Waiting
1996-12-20,Ghosts of Mississippi
1996-10-22,Night Falls on Manhattan
1996-12-15,Beavis and Butt-Head Do America
1995-08-30,La Cérémonie
1996-12-20,Scream
1992-09-25,The Last of the Mohicans
1996-12-25,Michael
1996-12-25,The Evening Star
1996-12-25,Hamlet
1996-12-25,Some Mother's Son
1996-12-20,The Whole Wide World
1996-12-25,Mother
1996-08-21,Thieves
1996-12-14,Evita
1996-10-18,The Portrait of a Lady
1971-07-01,Walkabout
1996-02-15,Message to Love: The Isle of Wight Festival
1997-04-18,Murder at 1600
1995-08-29,Hearts and Minds
1996-08-25,Inside
1997-01-24,Fierce Creatures
1997-01-24,Zeus & Roxanne
1997-01-09,Turbulence
1995-09-09,Angel Baby
1996-02-10,First Strike
1996-06-01,Underworld
1997-01-17,Beverly Hills Ninja
1997-01-16,Metro
1994-05-28,The Machine
1980-11-21,Falling in Love Again
1993-02-20,The Cement Garden
1997-02-07,Dante's Peak
1997-01-01,Meet Wally Sparks
1993-03-05,Amos & Andrew
1993-04-16,Benny & Joon
1997-01-24,Prefontaine
1996-11-21,A Tickle in the Heart
1995-01-01,Guantanamera
1997-04-18,McHale's Navy
1996-05-05,Kolya
1997-01-29,Gridlock'd
1996-11-29,Fire on the Mountain
1996-01-31,Waiting for Guffman
1996-03-15,Prisoner of the Mountains
1997-02-07,The Beautician and the Beast
1996-02-07,SubUrbia
1996-12-19,Hotel de Love
1997-02-07,The Pest
1997-02-14,Fools Rush In
1997-02-14,Touch
1997-02-14,Absolute Power
1997-02-14,That Darn Cat
1997-02-13,Vegas Vacation
1997-02-14,Unforgotten: Twenty-Five Years After Willowbrook
1997-04-04,That Old Feeling
1997-01-15,Lost Highway
1997-02-21,Rosewood
1997-02-27,Donnie Brasco
1996-11-20,Salut cousin !
1997-02-26,Booty Call
1997-03-04,Rhyme & Reason
1997-03-07,Boys Life 2
1997-03-14,City of Industry
1997-01-01,Best Men
1997-03-07,Jungle 2 Jungle
1996-09-11,Kama Sutra - A Tale of Love
1997-03-07,Private Parts
1997-03-14,Love Jones
1997-04-03,The Saint
1997-02-13,Smilla's Sense of Snow
1996-05-11,The Van
1996-07-17,Crash
1996-01-01,The Daytrippers
1997-03-21,Liar Liar
1996-03-21,The Quiet Room
1997-03-21,Selena
1997-03-12,The Devil's Own
1997-03-26,Cats Don't Dance
1997-03-28,B.A.P.S.
1996-08-01,Love and Other Catastrophes
1997-03-27,Turbo: A Power Rangers Movie
1997-04-04,Anna Karenina
1997-04-04,Double Team
1997-04-04,Inventing the Abbotts
1997-04-11,Anaconda
1997-04-11,Grosse Pointe Blank
1997-04-11,Keys to Tulsa
1996-09-07,Kissed
1997-04-18,8 Heads in a Duffel Bag
1996-06-24,Hollow Reed
1997-04-11,Paradise Road
1997-04-18,Traveller
1997-02-15,All Over Me
1997-04-25,A Brother's Kiss
1996-06-06,A Chef in Love
1997-04-25,Romy and Michele's High School Reunion
1996-05-09,Temptress Moon
1997-04-25,Volcano
1996-06-14,Children of the Revolution
1997-05-02,Austin Powers: International Man of Mystery
1997-05-02,Breakdown
1996-09-09,Broken English
1997-05-02,Commandments
1996-09-10,Ripe
1997-01-01,"Truth or Consequences, N.M."
1992-01-01,The Turning
1997-05-02,Warriors of Virtue
1997-05-09,Fathers' Day
1997-05-07,The Fifth Element
1996-01-01,Intimate Relations
1997-05-09,Nowhere
1996-08-18,Losing Chase
1997-05-14,Sprung
1965-02-10,Le Bonheur
1997-05-16,Love! Valour! Compassion!
1996-01-27,Shall We Dance?
1997-05-16,The Second Jungle Book: Mowgli & Baloo
1997-04-11,Twin Town
1997-05-23,Addicted to Love
1996-11-01,Brassed Off
1997-05-23,The Designated Mourner
1997-05-23,The Lost World: Jurassic Park
1996-09-10,Ponette
1996-09-13,Schizopolis
1996-11-30,Shiloh
1996-11-20,The War at Home
1995-09-07,Rough Magic
1997-05-30,Trial and Error
1997-06-06,Buddy
1997-06-01,Con Air
1996-01-01,Late Bloomers
1996-05-12,The Pillow Book
1995-12-27,To Have (Or Not)
1997-06-13,Speed 2: Cruise Control
1997-06-06,Squeeze
1996-10-11,Sudden Manhattan
1997-06-13,The Next Step
1996-10-18,Wedding Bell Blues
1997-06-20,Batman & Robin
1997-01-01,Dream with the Fishes
1997-03-06,Roseanna's Grave
1996-11-07,Head Above Water
1997-06-26,Hercules
1997-06-20,The Last Time I Committed Suicide
1996-09-10,MURDER and murder
1997-06-19,My Best Friend's Wedding
1992-01-01,Tetsuo II: Body Hammer
1996-04-03,When the Cat's Away
1963-10-21,Contempt
1997-06-27,Face/Off
1997-06-20,Fall
1996-06-26,Gabbeh
1995-06-01,Mondo
1996-01-25,The Innocent Sleep
1996-11-27,For Ever Mozart
1997-07-02,Men in Black
1997-07-02,Out to Sea
1997-07-02,Wild America
1997-07-11,A Simple Wish
1997-07-11,Contact
1996-10-10,Love Serenade
1997-08-22,G.I. Jane
1982-04-02,Conan the Barbarian
1997-07-15,George of the Jungle
1997-08-15,Cop Land
1997-08-15,Event Horizon
1997-07-31,Spawn
1997-08-01,Air Bud
1997-08-01,Picture Perfect
1997-01-19,In the Company of Men
1997-08-08,Free Willy 3: The Rescue
1997-06-01,Career Girls
1997-08-07,Conspiracy Theory
1998-01-30,Desperate Measures
1997-08-15,Steel
1997-08-29,She's So Lovely
1997-08-27,Hoodlum
1997-08-22,Leave it to Beaver
1997-08-22,Mimic
1997-08-22,Money Talks
1997-08-29,Excess Baggage
1997-08-29,Kull the Conqueror
1997-07-25,Air Force One
1997-07-29,One Eight Seven
1990-03-02,The Hunt for Red October
1991-10-17,My Own Private Idaho
1997-07-18,"Kiss Me, Guido"
1997-07-23,Star Maps
1997-09-10,In & Out
1997-09-06,The Edge
1997-09-26,The Peacemaker
1997-09-19,L.A. Confidential
1997-09-12,Seven Years in Tibet
1997-10-03,Kiss the Girls
1997-09-26,Soul Food
1997-09-26,Kicked in the Head
1997-09-19,Wishmaster
1997-09-17,A Thousand Acres
1997-09-12,The Game
1997-09-05,Fire Down Below
1997-10-03,U Turn
1997-10-03,The Locusts
1997-10-03,The Matchmaker
1997-09-28,The Assignment
1997-08-27,A Smile Like Yours
1997-06-13,Ulee's Gold
1997-09-27,The Ice Storm
1997-04-01,Stag
1997-04-04,Chasing Amy
1997-08-06,Def Jam's How to Be a Player
1997-08-13,The Full Monty
1996-11-08,Alive and Kicking
1997-07-18,Mrs Brown
1997-10-17,I Know What You Did Last Summer
1997-10-17,The Devil's Advocate
1997-10-10,RocketMan
1997-10-17,Playing God
1997-10-10,The House of Yes
1997-10-03,"Fast, Cheap & Out of Control"
1997-10-10,Washington Square
1997-08-02,Telling Lies In America
1997-10-08,Year of the Horse
1997-09-07,Gattaca
1997-01-01,FairyTale: A True Story
1998-01-23,Phantoms
1998-01-23,Swept from the Sea
1997-10-17,Wonderland
1997-10-24,A Life Less Ordinary
1997-01-21,Hurricane Streets
1997-09-07,Eve's Bayou
1997-10-31,Switchback
1997-10-08,Gang Related
1981-06-25,Stripes
1997-01-29,Nenette and Boni
1997-07-03,Bean
1997-01-01,Hugo Pool
1997-11-07,Mad City
1997-11-14,One Night Stand
1997-11-28,The Tango Lesson
1997-05-09,Welcome to Sarajevo
1997-08-31,Deceiver
1997-11-18,The Rainmaker
1997-09-11,Boogie Nights
1985-02-08,Witness
1997-11-14,Incognito
1997-11-06,Starship Troopers
1997-10-31,Critical Care
1993-09-08,The Joy Luck Club
1998-03-13,Chairman of the Board
1998-04-23,Sliding Doors
1997-11-21,Mortal Kombat: Annihilation
1998-06-04,The Truman Show
1997-11-07,The Wings of the Dove
1997-09-01,Mrs. Dalloway
1996-08-28,"I Love You, I Love You Not"
1997-10-30,Red Corner
1997-11-14,The Jackal
1997-11-20,Anastasia
1997-11-14,The Man Who Knew Too Little
1997-11-12,Alien: Resurrection
1996-01-01,Alien Escape
1997-12-03,Amistad
1997-10-09,The Apostle
1997-09-10,Artemisia
1997-11-26,Bent
1995-09-09,Bang
1997-12-12,The Boys
1997-07-13,The Butcher Boy
1997-08-26,Deconstructing Harry
1997-11-26,Flubber
1997-12-11,For Richer or Poorer
1997-12-05,Good Will Hunting
1997-12-17,Guy
1997-11-26,Tar
1997-12-12,Home Alone 3
1997-12-05,Ill Gotten Gains
1997-11-18,Man of Her Dreams
1997-11-21,Midnight in the Garden of Good and Evil
1997-12-19,MouseHunt
1996-01-01,Never Met Picasso
1997-01-01,Office Killer
1995-09-15,Other Voices Other Rooms
1997-12-09,Scream 2
1997-01-01,Stranger in the House
1997-05-14,The Sweet Hereafter
1997-12-16,Time Tracers
1997-11-18,Titanic
1997-12-11,Tomorrow Never Dies
1996-11-14,Twisted
1996-09-25,Full Speed
1997-12-25,The Education of Little Tree
1997-12-25,The Postman
1998-05-14,The Horse Whisperer
1997-12-27,The Winter Guest
1997-12-24,Jackie Brown
